Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,714,140334
,,,,,,,715,142190
,,,,,,,716,137100
,,,,,,,717,133418
,,,,,,,718,119574
,,,,,,,719,108964
,,,,,,,720,100006
,,,,,,,721,93438
,,,,,,,722,90424
,,,,,,,723,88730
,,,,,,,724,88686
,,,,,,,725,90446
,,,,,,,726,97896
,,,,,,,727,115630
,,,,,,,728,121126
,,,,,,,729,110450
,,,,,,,730,98684
,,,,,,,731,93494
,,,,,,,732,92444
,,,,,,,733,92664
,,,,,,,734,95296
,,,,,,,735,98016
,,,,,,,736,103032
,,,,,,,737,113106
,,,,,,,738,127036
,,,,,,,739,128752
,,,,,,,740,123004
,,,,,,,741,118874
,,,,,,,742,108352
,,,,,,,743,98214
,,,,,,,744,89724
,,,,,,,745,82808
,,,,,,,746,79770
,,,,,,,747,78132
,,,,,,,748,77902
,,,,,,,749,79848
,,,,,,,750,86632
,,,,,,,751,103000
,,,,,,,752,112592
,,,,,,,753,109128
,,,,,,,754,103676
,,,,,,,755,94608
,,,,,,,756,93996
,,,,,,,757,89714
,,,,,,,758,82656
,,,,,,,759,82448
,,,,,,,760,93176
,,,,,,,761,107118
,,,,,,,762,122054
,,,,,,,763,123124
,,,,,,,764,117858
,,,,,,,765,113936
,,,,,,,766,104616
,,,,,,,767,95034
,,,,,,,768,86894
,,,,,,,769,81922
,,,,,,,770,79300
,,,,,,,771,78262
,,,,,,,772,79366
,,,,,,,773,81092
,,,,,,,774,87768
,,,,,,,775,105884
,,,,,,,776,115706
,,,,,,,777,109490
,,,,,,,778,103982
,,,,,,,779,104244
,,,,,,,780,103458
,,,,,,,781,106004
,,,,,,,782,108626
,,,,,,,783,109468
,,,,,,,784,115356
,,,,,,,785,125288
,,,,,,,786,137100
,,,,,,,787,135712
,,,,,,,788,130598
,,,,,,,789,127626
,,,,,,,790,115236
,,,,,,,791,106440
,,,,,,,792,98094
,,,,,,,793,93276
,,,,,,,794,90970
,,,,,,,795,89822
,,,,,,,796,90730
,,,,,,,797,92904
,,,,,,,798,100312
,,,,,,,799,118132
,,,,,,,800,119268
,,,,,,,801,105982
,,,,,,,802,94476
,,,,,,,803,88434
,,,,,,,804,83814
,,,,,,,805,81694
,,,,,,,806,83322
,,,,,,,807,87954
,,,,,,,808,98650
,,,,,,,809,115520
,,,,,,,810,131746
,,,,,,,811,133930
,,,,,,,812,128784
,,,,,,,813,126118
,,,,,,,814,115532
,,,,,,,815,107818
,,,,,,,816,101054
,,,,,,,817,97406
,,,,,,,818,93460
,,,,,,,819,91484
,,,,,,,820,90970
,,,,,,,821,91538
,,,,,,,822,94696
,,,,,,,823,100946
,,,,,,,824,99154
